mode,seed,fad,div_fake,div_ratio
prior,0,2.216546219909662,0.23353856801986694,0.7032299067272404
prior,1,2.225180506607588,0.23196613788604736,0.6984950147318121
prior,2,2.3252938980566,0.2322055995464325,0.6992160802180193
prior,3,2.2607346021712376,0.23093721270561218,0.6953967215256759
prior,4,2.247026684697906,0.231281578540802,0.6964336738210243
class_posterior,0,2.127123773574467,0.2281346172094345,0.6869575631199278
class_posterior,1,2.160769042561757,0.22574031352996826,0.6797478505338487
class_posterior,2,2.2835447128817083,0.22411052882671356,0.6748402528099567
class_posterior,3,2.2375384966085887,0.2218303680419922,0.6679742466099602
class_posterior,4,2.201830563947722,0.22322972118854523,0.6721879702405908
